summary,temperature,humidity,visibility,wind_speed,cloud_cover,precip_intensity
Clear,32.32,0.86,10,2.06,0,0
Clear,31.54,0.87,10,1.86,0.01,0
Clear,32.06,0.86,10,1.89,0.01,0
Clear,33.52,0.85,10,1.53,0.01,0
Clear,38.02,0.77,10,1.69,0.01,0
Clear,41.94,0.67,10,1.67,0.02,0
Clear,45.07,0.6,10,1.22,0.02,0
Clear,48.84,0.54,10,1.31,0.02,0
Clear,51.71,0.5,10,1.72,0.02,0
Clear,54.26,0.45,10,2.27,0.02,0
Clear,55.91,0.42,10,2.65,0.02,0
Clear,56.37,0.42,10,2.97,0.02,0
Clear,56.48,0.43,10,3.65,0.05,0
Clear,53.32,0.47,10,3.67,0.05,0
Clear,49.05,0.52,10,3.36,0.02,0
Clear,47.7,0.58,10,3.2,0.01,0
Clear,45.77,0.61,10,2.95,0,0
Clear,44.32,0.64,10,2.5,0,0
Clear,43.06,0.66,9.96,2.83,0,0
Clear,42.72,0.72,9.89,3.89,0.22,0
Clear,41.08,0.74,9.85,3.82,0.24,0
Cloudy,40.1,0.77,9.76,3.33,0.25,0
Cloudy,38.35,0.8,9.62,3.23,0.27,0
Cloudy,37.53,0.82,9.51,3.5,0.27,0
Cloudy,36.24,0.84,9.43,2.61,0.27,0
Cloudy,35.12,0.86,9.34,2.3,0.28,0
Cloudy,35.62,0.86,7.22,2.4,0.33,0
Cloudy,37.63,0.87,7.07,2.07,0.39,0
Cloudy,43.1,0.8,7.35,4.01,0.44,0
Cloudy,49.95,0.7,9.05,5.56,0.5,0
Cloudy,55.94,0.61,9.72,6.38,0.57,0
Cloudy,60.95,0.53,10,7.6,0.55,0
Cloudy,63.59,0.49,10,7.85,0.44,0
Cloudy,65.93,0.46,10,8.42,0.28,0
Clear,67.04,0.46,10,8.5,0.2,0
Cloudy,67.72,0.48,10,8.26,0.26,0
Cloudy,66.57,0.5,10,6.57,0.26,0
Clear,63.61,0.58,10,6.05,0.14,0
Clear,61.67,0.65,10,6.54,0.15,0
Clear,60.36,0.71,9.86,8.45,0.2,0
Cloudy,59.07,0.77,9.65,8.36,0.56,0
Cloudy,58.37,0.81,9.48,7.06,0.63,0
Cloudy,57.01,0.85,9.4,7.08,0.57,0
Cloudy,56.08,0.85,9.58,5.89,0.33,0
Cloudy,55.68,0.86,9.56,5.42,0.36,0
Cloudy,54.9,0.87,9.53,5.22,0.53,0
Cloudy,54.36,0.87,9.49,5.1,0.63,0
Cloudy,54.4,0.87,9.49,4.52,0.71,0
Cloudy,54.52,0.86,9.49,4.02,0.68,0
Cloudy,54.39,0.86,9.41,3.84,0.75,0
Cloudy,55.3,0.86,9.39,4.18,0.74,0
Cloudy,56.56,0.85,9.41,4.06,0.73,0
Cloudy,58.04,0.82,9.4,4.21,0.73,0
Cloudy,60.69,0.77,9.51,4.46,0.76,0
Cloudy,63.49,0.71,9.63,4.59,0.81,0
Cloudy,66.03,0.64,9.75,3.2,0.78,0
Cloudy,68.36,0.57,9.92,2.08,0.53,0
Cloudy,70.05,0.51,10,0.99,0.37,0
Cloudy,70.66,0.47,10,0.47,0.29,0
Cloudy,70.04,0.5,10,0.91,0.39,0
Cloudy,68.25,0.51,10,1.73,0.53,0
Cloudy,65.43,0.58,10,1.71,0.62,0
Clear,63.19,0.67,9.99,1.69,0.14,0
Clear,60.13,0.72,9.97,3.07,0.08,0
Clear,58.73,0.66,9.97,3.37,0.06,0
Clear,58.36,0.54,9.98,4.73,0.21,0
Cloudy,56.94,0.53,10,5.64,0.5,0
Cloudy,54.17,0.56,10,6.26,0.62,0
Cloudy,53,0.56,10,5.85,0.72,0
Cloudy,51.87,0.57,10,6.98,0.54,0
Cloudy,50.87,0.58,10,8.43,0.76,0
Cloudy,49.88,0.6,10,9.18,0.7,0
Overcast,48.59,0.61,10,9.15,0.95,0
Overcast,47.59,0.61,10,9.61,0.96,0
Cloudy,46.78,0.62,10,10.4,0.93,0
Cloudy,46.4,0.61,10,10.52,0.77,0
Cloudy,46.49,0.61,10,11.22,0.61,0
Cloudy,47.71,0.58,10,12.79,0.32,0
Cloudy,49.84,0.54,10,13.2,0.36,0.0008
Cloudy,51.21,0.51,10,13.02,0.62,0
Cloudy,51.65,0.51,10,11.6,0.51,0.0021
Cloudy,51.74,0.55,9.97,9.18,0.62,0.0013
Drizzle,51.54,0.58,9.97,7.88,0.54,0.0055
Cloudy,51.68,0.56,9.99,8.46,0.67,0.0014
Cloudy,50.99,0.55,9.98,7.93,0.71,0.002
Cloudy,49.67,0.57,9.98,8.12,0.81,0
Overcast,48.19,0.55,10,9.6,0.99,0
Cloudy,47.31,0.52,10,9.56,0.92,0
Cloudy,47.05,0.54,10,8.89,0.61,0
Cloudy,45.89,0.57,10,7.52,0.9,0
Cloudy,44.75,0.61,10,7.01,0.55,0
Clear,42.72,0.66,10,7.17,0.24,0
Clear,41.49,0.68,9.97,6.51,0.2,0
Clear,40.66,0.69,9.93,6.99,0.09,0
Clear,39.64,0.71,9.91,6.19,0,0
Clear,39.08,0.72,9.84,5.54,0,0
Clear,38.7,0.72,9.84,5.93,0.03,0
Clear,38.27,0.72,9.82,6.06,0.07,0
Clear,38.21,0.7,9.9,5.68,0.12,0
Clear,38.79,0.69,9.95,6.29,0.18,0
Clear,42.48,0.63,10,6.58,0.2,0
Clear,46.34,0.55,10,7.4,0.18,0
Clear,50.08,0.47,10,7.51,0.12,0
Clear,52.92,0.4,10,8.15,0.08,0
Clear,54.89,0.37,10,7.59,0.06,0
Clear,56.7,0.34,10,7.61,0.05,0
Clear,57.6,0.32,10,6.4,0.06,0
Clear,57.21,0.32,10,6.18,0.05,0
Clear,56.25,0.33,10,4.86,0.07,0
Clear,52.69,0.37,10,3.79,0.01,0
Clear,47.97,0.42,10,3.24,0.02,0
Clear,44.8,0.47,10,2.42,0,0
Clear,41.86,0.54,10,1.46,0,0
Clear,38.96,0.61,10,1.67,0,0
Clear,37.73,0.64,10,0.98,0,0
Clear,38.64,0.7,10,1.35,0,0
Clear,36.57,0.72,10,1.56,0,0
Clear,35.51,0.76,10,2.31,0,0
Clear,35.28,0.78,10,1.85,0,0
Clear,33.66,0.8,10,2.85,0,0
Clear,33.34,0.8,10,2.98,0,0
Clear,33.22,0.81,10,2.5,0,0
Clear,34.48,0.83,10,2.88,0,0
Clear,36.47,0.8,10,3.41,0,0
Clear,43.08,0.69,10,2.52,0,0
Clear,49.6,0.58,10,3.01,0,0
Clear,56.26,0.47,10,3.69,0,0
Clear,61.34,0.41,10,4.3,0,0
Clear,65.25,0.36,10,3.03,0,0
Clear,68,0.32,10,3.81,0,0
Clear,69.51,0.29,10,3.73,0,0
Clear,69.88,0.28,10,2.83,0,0
Clear,68.87,0.29,10,2.43,0.01,0
Clear,63.83,0.33,10,1.25,0,0
Clear,58.65,0.4,10,2.07,0,0
Clear,54.28,0.49,10,2.44,0,0
Clear,52.43,0.55,10,0.32,0,0
Clear,48.15,0.6,10,0.62,0,0
Clear,46.01,0.65,10,0.51,0,0
Clear,45.99,0.67,9.93,1.08,0,0
Clear,43.86,0.7,9.89,1.95,0,0
Clear,42.22,0.73,9.87,2.06,0,0
Clear,41.64,0.75,9.81,1.84,0,0
Clear,41,0.75,9.79,1.73,0,0
Clear,40.17,0.76,9.78,2.11,0,0
Clear,40.08,0.76,9.74,1.82,0,0
Clear,40.59,0.75,9.72,2.16,0.01,0
Clear,42.78,0.73,9.79,2.45,0.01,0
Clear,50.04,0.62,10,2.41,0.01,0
Clear,57.22,0.5,10,3.5,0.01,0
Clear,64.71,0.4,10,5.71,0.01,0
Clear,71.16,0.31,10,8.39,0.01,0
Clear,72.87,0.27,10,9.92,0.01,0
Clear,73.52,0.26,10,10.04,0.01,0
Clear,73.63,0.26,10,10.87,0.01,0
Clear,72.82,0.26,10,10.27,0.01,0
Clear,71.01,0.28,10,8.79,0.01,0
Clear,67.04,0.33,10,6.64,0.01,0
Clear,62.79,0.37,10,5.71,0.03,0
Clear,60.42,0.41,10,5.52,0.01,0
Clear,58.82,0.43,10,5.3,0,0
Clear,56.6,0.47,10,5.03,0.01,0
Clear,54.59,0.5,10,5.44,0,0
Clear,53.47,0.58,10,7.14,0,0
Clear,52.14,0.62,10,6.83,0,0
Clear,52.05,0.65,9.48,6.61,0.07,0
Clear,51.09,0.68,9.26,6.29,0.07,0
Clear,48.95,0.71,9.05,5.57,0.07,0
Clear,47.06,0.74,8.65,4.48,0.08,0
Clear,45.87,0.75,8.49,3.38,0.08,0
Clear,45.67,0.77,8.24,3.82,0.08,0
Clear,47.31,0.76,8.32,4.28,0.11,0
Clear,53.34,0.68,9.79,5.97,0.16,0
Clear,59.19,0.59,9.97,7.35,0.02,0
Clear,64.9,0.5,10,7.83,0.02,0
Clear,68.74,0.44,10,8.75,0.01,0
Clear,71.94,0.39,10,8.77,0.01,0
Clear,73.82,0.36,10,9.2,0.02,0
Clear,75.05,0.35,10,9.17,0.02,0
Clear,75.11,0.34,10,8.17,0.02,0
Clear,73.67,0.35,10,6.37,0.02,0
Clear,69.23,0.42,10,5.75,0.01,0
Clear,65.55,0.51,10,6.98,0.01,0
Clear,63.24,0.6,9.96,7.62,0,0
Clear,61.27,0.73,9.66,7.88,0,0
Clear,59.99,0.84,9.46,7.83,0.12,0
Cloudy,59.05,0.89,9.31,7.62,0.55,0
Cloudy,58.01,0.88,9.65,5.45,0.4,0
Cloudy,57.6,0.89,9.63,5.84,0.44,0
Cloudy,57.46,0.91,9,5.95,0.52,0
Cloudy,58.21,0.91,8.92,7.24,0.56,0
Cloudy,58.83,0.92,8.2,6.79,0.61,0
Cloudy,59.42,0.91,7.46,7.09,0.74,0
Cloudy,59.61,0.9,7.28,6.7,0.78,0
Cloudy,59.76,0.9,6.01,6.43,0.81,0
Cloudy,59.69,0.89,6.75,6.38,0.87,0
Cloudy,61.72,0.87,9.2,5.67,0.83,0
Cloudy,64.85,0.79,9.39,6.38,0.27,0
Clear,68.83,0.69,9.77,6.11,0.09,0
Clear,72.24,0.58,10,5.31,0.08,0
Clear,77,0.49,10,4.22,0.05,0
Clear,79.65,0.4,10,3.05,0.03,0
Clear,80.93,0.35,10,1.65,0.01,0
Clear,80.92,0.34,10,1.22,0.01,0
Clear,78.69,0.38,10,2.13,0.03,0
Clear,74.13,0.46,10,2.93,0.02,0
Clear,69.17,0.56,10,2.21,0,0
Clear,66.1,0.62,10,1.64,0,0
Clear,63.09,0.69,10,1.31,0,0
Clear,60.57,0.72,9.99,2.05,0,0
Clear,60.11,0.61,9.97,4.03,0,0
Clear,58.91,0.64,10,3.39,0.2,0
Clear,56.56,0.65,10,2.79,0.2,0
Clear,54.91,0.67,10,2.53,0.07,0
Clear,53.39,0.66,10,1.99,0.04,0
Cloudy,53.27,0.73,9.45,1.03,0.32,0
Cloudy,53.26,0.81,7.69,0.48,0.44,0
Cloudy,53.24,0.85,7.44,0.66,0.5,0
Cloudy,54.36,0.85,7.6,1.42,0.54,0
Cloudy,54.87,0.85,7.99,2.59,0.57,0
Cloudy,57.05,0.82,8.53,3.05,0.62,0
Cloudy,60.05,0.77,9.02,3.94,0.72,0
Cloudy,63.38,0.84,9.59,4.73,0.76,0
Cloudy,65.94,0.78,9.83,6.16,0.65,0
Cloudy,67.95,0.75,10,6.84,0.55,0
Cloudy,70.33,0.72,10,7.06,0.29,0
Clear,71.74,0.7,10,7.86,0.21,0
Clear,72.78,0.67,10,7.44,0.16,0
Clear,73.25,0.6,10,7.75,0.15,0
Clear,71.72,0.62,10,8.71,0.08,0
Clear,69.39,0.69,9.84,10.31,0.06,0
Clear,67.32,0.81,9.37,11.63,0.13,0
Cloudy,65.53,0.87,8.32,10.81,0.51,0
Cloudy,65.17,0.88,7.99,8.13,0.77,0
Cloudy,64.85,0.83,9.24,6.31,0.81,0.0046
Cloudy,63.3,0.66,9.26,6.13,0.62,0.0031
Cloudy,60.61,0.53,9.67,5.95,0.5,0.0018
Cloudy,57.88,0.44,10,6.12,0.3,0.0009
Clear,55.38,0.37,10,6.22,0.16,0
Cloudy,53.89,0.36,10,7.25,0.29,0
Clear,52.68,0.36,10,6.71,0.15,0
Clear,51.55,0.36,10,6.72,0.11,0
Clear,51.8,0.37,10,5.71,0.1,0
Clear,52.7,0.37,10,5.39,0.06,0
Clear,55.4,0.34,10,6.3,0.02,0
Clear,58.98,0.3,10,7.71,0.01,0
Clear,61.78,0.27,10,9.38,0.01,0
Clear,64,0.24,10,10,0.02,0
Clear,65.58,0.23,10,9.02,0,0
Clear,67.53,0.22,10,8.01,0,0
Clear,68,0.22,10,7.05,0,0
Clear,67.76,0.23,10,5.54,0,0
Clear,66.38,0.25,10,4.32,0.02,0
Clear,63.69,0.28,10,2.99,0.02,0
Clear,59.9,0.32,10,2.45,0.02,0
Clear,56.52,0.35,10,3.44,0,0
Clear,54.51,0.41,10,3.8,0,0
Clear,53.45,0.43,10,4.36,0,0
Clear,51.32,0.39,10,4.66,0,0
Clear,49.01,0.41,10,5.67,0,0
Clear,48.16,0.41,10,6.15,0,0
Clear,46.39,0.46,10,6.64,0,0
Clear,44.48,0.5,10,6.99,0,0
Clear,43.28,0.53,10,6.54,0,0
Clear,41.9,0.55,10,6.3,0,0
Clear,40.81,0.56,10,6.14,0,0
Clear,40.38,0.57,10,6.25,0.01,0
Clear,40.08,0.57,10,6.91,0,0
Clear,42.24,0.53,10,8.11,0,0
Clear,45.35,0.49,10,8.02,0.02,0
Clear,49.25,0.45,10,8.18,0.12,0
Clear,51.82,0.41,10,7.26,0.11,0
Clear,54.26,0.38,10,7.49,0,0
Clear,55.88,0.35,10,7.72,0,0
Clear,57.09,0.33,10,7.69,0,0
Clear,57.14,0.33,10,7,0,0
Clear,55.18,0.34,10,6.36,0,0
Clear,52.8,0.35,10,5.68,0,0
Clear,50.17,0.39,10,4.15,0.01,0
Clear,47.76,0.43,10,4.27,0,0
Clear,45.71,0.46,10,3.42,0,0
Clear,43.1,0.5,10,2.49,0,0
Clear,40.54,0.54,10,2.89,0.01,0
Clear,38.57,0.58,10,3.24,0,0
Clear,38.05,0.59,10,3.3,0,0
Clear,36.84,0.6,10,3.06,0,0
Clear,36.33,0.61,10,3.2,0,0
Clear,35.01,0.63,10,2.95,0,0
Clear,34.25,0.65,10,2.96,0,0
Clear,33.16,0.68,10,2.38,0,0
Clear,32.92,0.69,9.94,2.73,0.01,0
Clear,34.76,0.71,9.93,2.79,0.01,0
Clear,40.61,0.6,10,2.21,0.01,0
Clear,45.66,0.46,10,2.1,0.02,0
Clear,49.82,0.37,10,2.07,0.02,0
Clear,53.01,0.32,10,2.08,0.04,0
Clear,55.03,0.3,10,1.46,0.02,0
Clear,56.44,0.28,10,1.51,0.03,0
Clear,57.39,0.27,10,2.46,0.03,0
Clear,57.42,0.27,10,1.31,0.1,0
Clear,56.11,0.27,10,1.12,0.12,0
Clear,53.6,0.31,10,2.16,0.07,0
Clear,49.86,0.37,10,2.28,0,0
Clear,46.95,0.4,10,2.66,0,0
Clear,44.87,0.45,10,1.3,0,0
Clear,41.04,0.51,10,0.75,0,0
Clear,39.28,0.55,10,0.76,0,0
Clear,38.56,0.6,10,0.61,0.14,0
Clear,37.56,0.62,9.99,0.55,0.12,0
Clear,35.81,0.65,9.98,0.7,0.04,0
Clear,35.22,0.67,9.97,0.33,0.02,0
Clear,34.88,0.68,9.97,0.38,0.01,0
Clear,33.56,0.7,9.94,0.8,0,0
Clear,33.41,0.7,9.94,1.1,0,0
Clear,33.72,0.7,9.9,1.06,0.01,0
Clear,36.62,0.69,9.84,0.69,0,0
Clear,42.64,0.56,10,1.6,0,0
Clear,47.6,0.47,10,3.35,0.01,0
Clear,52.64,0.39,10,3.71,0.02,0
Clear,56.66,0.32,10,4.95,0.03,0
Clear,58.49,0.29,10,5.26,0.03,0
Clear,59.46,0.28,10,5.09,0.03,0
Clear,59.64,0.3,10,5.2,0.02,0
Clear,59.97,0.31,10,4.75,0.01,0
Clear,58.39,0.35,10,4.07,0.07,0
Cloudy,55.93,0.39,10,2.93,0.44,0
Cloudy,53.96,0.44,10,3.15,0.73,0
Cloudy,54.1,0.46,10,3.21,0.9,0
Cloudy,53.01,0.51,10,3.26,0.79,0
Cloudy,52.41,0.56,10,3.9,0.72,0
Cloudy,51.69,0.61,10,4.03,0.36,0
Cloudy,48.2,0.69,9.98,4.11,0.31,0
Clear,46.99,0.73,9.85,3.55,0.17,0.0017
Cloudy,46.07,0.77,9.76,2.91,0.25,0.0025
Clear,45.11,0.78,9.76,4.13,0.08,0.0045
Clear,43.69,0.76,9.77,5.23,0.06,0.0031
Clear,42.83,0.67,9.86,5.18,0.03,0.002
Clear,42.57,0.57,9.98,7.61,0,0.001
Clear,42.64,0.54,10,7.5,0.01,0
Clear,44.01,0.52,10,9.32,0.01,0
Clear,46.37,0.5,10,10.34,0.01,0
Clear,49.95,0.47,10,11.25,0.01,0
Clear,53.52,0.4,10,12.23,0.01,0
Clear,56.19,0.37,10,11.82,0.01,0
Clear,57.99,0.35,10,11.64,0.01,0
Clear,59.03,0.33,10,10.83,0.01,0
Clear,59.56,0.33,10,9.48,0.01,0
Clear,59.18,0.33,10,8.3,0.01,0
Clear,58.19,0.36,10,6.87,0.02,0
Clear,54.92,0.39,10,4.52,0.01,0
Clear,51.66,0.45,10,3.85,0.01,0
Clear,48.47,0.55,10,2.71,0,0
Clear,45.99,0.61,9.89,1.4,0,0
Clear,43.48,0.68,9.73,0.79,0,0
Clear,40.96,0.73,9.6,0.63,0,0
Clear,40.11,0.81,9.8,1.46,0.01,0
Clear,37.91,0.84,9.77,1.76,0,0
Clear,36.41,0.86,9.65,1.7,0,0
Clear,35.33,0.88,9.02,1.4,0,0
Clear,34.54,0.88,8.9,2.03,0,0
Clear,33.64,0.89,8.31,1.84,0,0
Clear,33.38,0.89,8.22,1.59,0,0
Clear,34.47,0.88,7.72,1.83,0.01,0
Clear,36.46,0.86,7.67,2.23,0,0
Clear,42.79,0.78,9.69,2.99,0.01,0
Clear,48.09,0.65,9.96,4.61,0,0
Clear,53.27,0.54,10,4.89,0,0
Clear,57.14,0.45,10,5.66,0,0
Clear,60.83,0.38,10,6.08,0,0
Clear,63.02,0.33,10,6.95,0,0
Clear,64.65,0.31,10,5.94,0,0
Clear,64.89,0.31,10,5.27,0,0
Clear,63.82,0.32,10,3.78,0,0
Clear,60.79,0.35,10,3.09,0,0
Clear,57.17,0.4,10,3.48,0.05,0
Clear,54.21,0.44,10,3.12,0.03,0
Clear,51.26,0.49,10,2.44,0.01,0
Clear,49.64,0.53,10,1.72,0.02,0
Clear,46.95,0.57,10,2.76,0.07,0
Clear,45.67,0.61,10,2.48,0.04,0
Clear,44.36,0.63,10,3.55,0.05,0
Clear,45.18,0.61,10,4.32,0.06,0
Clear,45.3,0.58,10,5.62,0.07,0
Clear,46.01,0.52,10,8.81,0.09,0
Clear,45.05,0.49,10,7.76,0.11,0
Clear,44.46,0.45,10,7.2,0.13,0
Clear,44.63,0.41,10,6.83,0.13,0
Clear,45.41,0.38,10,7.08,0.11,0
Clear,48.3,0.34,10,8.23,0.11,0
Clear,51.76,0.3,10,8.99,0.14,0
Clear,54.96,0.26,10,9.11,0.18,0
Clear,57.05,0.22,10,8.16,0.11,0
Clear,59.7,0.2,10,7.97,0.09,0
Clear,61.74,0.19,10,8.22,0.05,0
Clear,62.67,0.19,10,8.49,0.03,0
Clear,62.5,0.19,10,8.27,0.02,0
Clear,61.65,0.19,10,7.69,0.03,0
Clear,59.33,0.21,10,5.85,0,0
Clear,55.69,0.23,10,3.73,0.01,0
Clear,51.86,0.28,10,3.35,0,0
Clear,48.02,0.32,10,2.64,0,0
Clear,45.79,0.36,10,2.26,0,0
Clear,45.06,0.41,10,2.75,0.01,0
Clear,43.73,0.43,10,3.36,0,0
Clear,42.12,0.47,10,3.96,0,0
Clear,41.86,0.49,10,4.07,0,0
Clear,40.78,0.5,10,5.32,0,0
Clear,39.92,0.51,10,4.49,0,0
Clear,38.8,0.53,10,4.43,0,0
Clear,38.51,0.53,10,4.38,0,0
Clear,38.72,0.54,10,4.69,0,0
Clear,40.86,0.52,10,4.29,0,0
Clear,46.25,0.44,10,4.01,0,0
Clear,52.1,0.34,10,4.64,0,0
Clear,58.08,0.29,10,5.15,0,0
Clear,61.63,0.27,10,5.8,0,0
Clear,64.72,0.26,10,5.72,0,0
Clear,67.6,0.25,10,6.37,0,0
Clear,69.69,0.24,10,5.86,0,0
Clear,70.82,0.24,10,5.27,0,0
Clear,70.18,0.25,10,4.63,0,0
Clear,66.51,0.27,10,2.63,0,0
Clear,60.99,0.33,10,2.46,0,0
Clear,57.1,0.4,10,1.21,0,0
Clear,53.37,0.45,10,1.82,0,0
Clear,51.26,0.5,10,3.08,0,0
Clear,51.48,0.49,10,3.34,0,0
Clear,50.12,0.53,10,2.42,0,0
Clear,46.27,0.57,10,2.55,0,0
Clear,45.17,0.61,10,2.85,0,0
Clear,43.78,0.64,10,2.79,0,0
Clear,42.15,0.65,10,1.99,0,0
Clear,40.9,0.68,9.98,2.22,0,0
Clear,39.84,0.71,9.96,2.18,0,0
Clear,39.88,0.7,9.95,1.68,0,0
Clear,41.95,0.7,9.94,0.65,0,0
Clear,49.79,0.55,10,0.84,0,0
Clear,54.75,0.42,10,2.33,0.01,0
Clear,59.41,0.37,10,3.72,0.01,0
Clear,63.69,0.33,10,4.98,0.01,0
Clear,66.83,0.3,10,4.63,0.01,0
Clear,69.86,0.28,10,5.23,0.01,0
Clear,71.97,0.27,10,4.99,0.01,0
Clear,72.96,0.27,10,5.29,0.01,0
Clear,72.35,0.27,10,5.06,0.01,0
Clear,69.69,0.29,10,4.5,0,0
Clear,64.79,0.33,10,4.18,0,0
Clear,62.03,0.36,10,4.28,0,0
Clear,59.93,0.38,10,4.68,0,0
Clear,58.06,0.41,10,4.54,0,0
Clear,56.03,0.43,10,4.67,0,0
Clear,55.96,0.48,10,4.55,0,0
Clear,54.1,0.51,10,4.53,0,0
Clear,53.08,0.55,10,4.17,0,0
Clear,51.58,0.58,10,4.06,0,0
Clear,50.65,0.58,10,4.27,0,0
Clear,50.28,0.55,10,3.89,0,0
Clear,49.77,0.56,10,3.47,0,0
Clear,50.8,0.56,10,3.04,0.01,0
Clear,51.77,0.55,10,3.08,0.01,0
Clear,58.86,0.47,10,3.97,0.01,0
Clear,64.44,0.4,10,5.74,0.01,0
Clear,69.78,0.34,10,7.25,0.01,0
Clear,74.17,0.3,10,7.06,0.01,0
Clear,76.81,0.27,10,6.42,0.01,0
Clear,78.7,0.25,10,6.43,0.01,0
Clear,79.27,0.24,10,6.73,0.03,0
Clear,79.07,0.24,10,5.75,0.01,0
Clear,76.92,0.25,10,4.49,0.01,0
Clear,73.41,0.27,10,3.89,0.01,0
Clear,69.06,0.31,10,4.47,0.01,0
Clear,65.92,0.35,10,4.29,0,0
Clear,62.93,0.4,10,4.16,0,0
Clear,61.75,0.47,10,4.24,0,0
Clear,60.09,0.6,9.93,4.09,0.01,0
Clear,57.41,0.66,10,2.97,0,0
Clear,55.48,0.71,10,2.83,0.01,0
Clear,54.06,0.76,10,1.77,0.02,0
Clear,52.88,0.8,10,2.21,0.03,0
Clear,51.27,0.82,10,1.95,0.08,0
Clear,49.77,0.83,10,1.42,0.15,0
Cloudy,48.01,0.83,10,0.94,0.27,0
Cloudy,48.22,0.81,10,1.54,0.3,0
Cloudy,49.78,0.78,9.64,1.93,0.31,0
Cloudy,55.06,0.71,9.65,1.81,0.31,0
Cloudy,61.24,0.61,10,1.85,0.29,0
Cloudy,66.37,0.52,10,2.12,0.27,0
Cloudy,70.36,0.46,10,2.86,0.25,0
Clear,72.42,0.42,10,2.86,0.24,0
Cloudy,74.94,0.4,10,3.83,0.25,0
Cloudy,75.65,0.39,10,4.36,0.25,0
Cloudy,75.13,0.4,10,5.18,0.28,0
Cloudy,73.88,0.38,10,5.22,0.29,0
Clear,70.73,0.41,10,5.26,0.22,0
Clear,67.59,0.43,10,4.91,0,0
Clear,64.76,0.47,10,4.94,0,0
Clear,62.68,0.51,10,6,0,0
Clear,60.65,0.51,10,5.39,0,0
Clear,58.96,0.52,10,4.42,0,0
Cloudy,58.25,0.66,10,4.01,0.35,0
Cloudy,56.34,0.68,10,3.47,0.35,0
Cloudy,54.88,0.71,10,2.2,0.36,0
Cloudy,53.5,0.73,10,2.61,0.36,0
Cloudy,51.62,0.74,10,1.57,0.36,0
Cloudy,50.94,0.75,10,1.42,0.36,0
Cloudy,50.44,0.75,10,1.56,0.37,0
Cloudy,49.88,0.74,10,1.54,0.36,0
Cloudy,51.14,0.74,9.01,2.07,0.35,0
Cloudy,54.63,0.71,9.33,2.95,0.37,0
Cloudy,58.34,0.67,10,1.94,0.44,0
Cloudy,63.25,0.62,10,3.66,0.55,0
Cloudy,67.45,0.58,10,6.72,0.54,0
Cloudy,71.09,0.53,10,7.71,0.51,0
Cloudy,72.22,0.5,10,8.37,0.52,0
Cloudy,72.18,0.5,10,8.94,0.32,0
Cloudy,72.92,0.5,10,8.57,0.41,0
Cloudy,71.86,0.51,10,9.29,0.42,0
Cloudy,68.87,0.56,10,8.79,0.43,0
Clear,65.84,0.62,10,7.55,0.23,0
Clear,64.06,0.65,10,7.31,0.12,0
Clear,62.63,0.72,9.69,7.63,0.09,0
Clear,61.01,0.78,9.45,8.85,0.1,0
Clear,59.16,0.84,9.21,7.94,0.09,0
Cloudy,58.12,0.87,10,5.99,0.34,0
Cloudy,57.01,0.89,10,6.03,0.71,0
Cloudy,56.42,0.9,9.73,5.31,0.86,0
Cloudy,56.46,0.92,9.16,3.88,0.91,0
Cloudy,56.93,0.92,9.85,4.71,0.92,0
Overcast,57.28,0.92,9.82,5.23,0.94,0
Cloudy,56.65,0.91,9.85,5.34,0.78,0
Cloudy,56.81,0.9,10,3.99,0.54,0
Cloudy,57.08,0.89,10,4.37,0.64,0
Cloudy,58.57,0.87,10,5.18,0.66,0
Cloudy,60.84,0.83,10,7.11,0.74,0
Cloudy,63.66,0.79,10,7.45,0.76,0
Cloudy,65.99,0.73,10,7.19,0.53,0
Cloudy,68.87,0.66,10,8.02,0.81,0
Cloudy,72.09,0.58,10,7.15,0.58,0
Cloudy,73.58,0.53,10,6.13,0.36,0
Cloudy,73.42,0.51,10,5.26,0.29,0
Cloudy,72.71,0.51,10,4.27,0.49,0
Clear,70.39,0.57,10,2.51,0.13,0
Clear,67.75,0.64,10,4.24,0.2,0
Clear,65.66,0.68,9.99,4.83,0.13,0
Clear,64.15,0.75,9.84,4.87,0.14,0
Clear,63.09,0.82,9.78,3.98,0.03,0
Clear,61.24,0.86,9.68,3.85,0.03,0
Clear,58.83,0.87,10,3.04,0.06,0
Cloudy,57.43,0.89,10,1.7,0.35,0
Cloudy,57.18,0.9,10,2.03,0.69,0
Cloudy,57.02,0.91,10,1.76,0.69,0
Cloudy,57.22,0.92,10,2.15,0.74,0
Cloudy,57.49,0.92,10,3.44,0.81,0
Cloudy,58.16,0.92,10,3.04,0.83,0.0009
Cloudy,58.5,0.9,10,2.6,0.78,0
Cloudy,59.1,0.86,10,4.6,0.43,0
Clear,60.68,0.73,10,5.23,0.06,0
Clear,63.62,0.58,10,5.34,0.04,0
Clear,66.54,0.52,10,6.62,0.04,0
Clear,69.57,0.48,10,6.95,0.05,0
Clear,71.13,0.46,10,7.51,0.11,0
Clear,72.04,0.42,10,6.67,0.03,0
Clear,73.33,0.38,10,6.74,0.03,0
Clear,73.06,0.35,10,6.99,0.01,0
Clear,72.43,0.32,10,6.34,0.01,0
Clear,69.15,0.33,10,4.05,0.01,0
Clear,64.36,0.38,10,2.81,0.02,0
Clear,59.83,0.44,10,2.01,0,0
Clear,56.26,0.52,10,1.16,0,0
